食品,エネルギー(kcal),たんぱく質(g),脂質(g),飽和脂肪酸(g),一価不飽和脂肪酸(g),多価不飽和脂肪酸(g),コレステロール(mg),炭水化物(g),食物繊維総量(g),マグネシウム(mg),鉄(mg),亜鉛(mg),セレン(μg),β-カロテン(μg),レチノール活性当量(μg),ビタミンD(μg),ビタミンE(mg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),ビタミンC(mg),アルコール(g),カフェイン(g),n-3系多価不飽和脂肪酸(g),n-6系多価不飽和脂肪酸(g),水分(g),食塩相当量(g),ナトリウム(mg),カリウム(mg),カルシウム(mg),リン(mg),ビタミンK(μg),銅(mg),ヨウ素(μg)
中華麺,197,6,0.8,0.196,0.077,0.427,0,39,3,9,0.4,0.3,23,0,0,0,0.14,0.007,0.007,0.4,0.01,0,6,0,0,0,0.02,1.06,23.1,0.7,287,245,14.7,46,0,0.06,0
パスタ,379,12.2,1.9,0.45,0.17,0.99,0,73.9,5.4,55,1.4,1.5,63,0,1,0,0.3,0.19,0.06,2.3,0.11,0,13,0,0,0,0.06,1.06,11.2,0,1,200,18,130,0,0.28,0
補助食品,200,4,11,0,0,0,0,20.9,1,25,1.3,0,0,0,112,1.3,2,0.25,0.3,2.3,0.25,0.5,50,20,0,0,0,0,0,0,140,55,100,40,0,0,0
甘くない菓子,114.97,1.578,4.354,0.5048,1.7663,1.7734,0,17.367,0.608,11.52,0.308,0.242,0.52,0,0,0,0.744,0.0338,0.0111,0.594,0.0065,0,10.35,1.8,0,0,0.2893,1.4841,1.007,0.38,148.1,160.9,3.73,25,0,0.0499,45.5
甘い和菓子,169,3.185,0.26,0.052,0.0195,0.1105,0,38.48,1.885,8.45,0.715,0.26,0,0,0,0,0,0.0195,0.013,0.065,0,0,1.3,0,0,0,0.013,0.0975,22.75,0.13,40.95,30.55,11.05,30.55,1.95,0.065,0
乳製品を使った洋菓子,162,3.51,7.2,4.176,2.088,0.324,47.7,20.88,0.09,11.7,0.09,0.36,3.6,0,52.2,0.09,0.18,0.054,0.18,0.09,0.018,0.18,0,0,0,0,0.045,0.27,57.51,0.27,99,171,126,108,2.7,0.009,15.3
その他の甘い洋菓子,221.25,3.5,11.975,6.285,4.025,0.51,39.75,24.85,1.125,20.25,0.775,0.525,4.25,8.75,37,0.3,0.25,0.0525,0.13,0.35,0.0325,0.025,6.25,0,0,0,0.0475,0.46,8.875,0.1,35.75,132.75,68,87.5,2,0.1525,6.5
ジャム・はちみつ,20,0.032,0.004,0.0004,0.0004,0.002,0,5.212,0.044,0.4,0.024,0.008,0,0.04,0,0,0.008,0.0004,0.0008,0.02,0.002,0,1.36,0.4,0,0,0.0008,0.0012,2.732,0,0.56,5.76,0.64,0.76,0,0.0028,0
揚げ物,73.68,0,8,0.8776,3.288,3.2752,0.16,0,0,0,0,0,0,0,0,0,1.024,0,0,0,0,0,0,0,0,0,0.5448,2.7304,0,0,0,0,0,0,13.6,0,0
炒め物,46.05,0,5,0.5485,2.055,2.047,0.1,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.3405,1.7065,0,0,0,0,0,0,8.5,0,0
マヨネーズ・ドレッシング,66.72,0.09,7.074,0.5808,3.7086,2.2158,3.36,0.57,0,0.18,0.018,0.012,0.18,0,1.44,0.018,1.146,0.0006,0.0018,0,0.0012,0.006,0.06,0.06,0,0,0.5112,1.7046,3.864,0.294,115.8,1.2,0.6,1.8,10.68,0.0006,0.18
ごま,17.97,0.609,1.626,0.2274,0.5736,0.6792,0,0.555,0.378,10.8,0.297,0.177,0.81,0.21,0.03,0,0.003,0.0147,0.0069,0.159,0.0192,0,4.5,0,0,0,0.0057,0.6732,0.048,0,0.06,12.3,36,16.8,0.36,0.0504,0
ナッツ類,117.9,4.51,10.31,1.385,5.633,2.728,0,3.91,1.7,48,0.56,0.67,0.5,1,0.2,0,3.22,0.04,0.116,2.06,0.057,0,16.3,0,0,0,0.006,2.723,0.71,0.03,12.1,152,30,84,0.1,0.181,0.1
緑茶,2.4,0.24,0,0,0,0,0,0.24,0,2.4,0.24,0,0,0,0,0,0,0,0.06,0.24,0.012,0,19.2,7.2,0,0.024,0,0,119.28,0,3.6,32.4,3.6,2.4,0,0.012,0
ウーロン茶・中国茶,0,0,0,0,0,0,0,0.12,0,1.2,0,0,0,0,0,0,0,0,0.036,0.12,0,0,2.4,0,0,0.024,0,0,119.76,0,1.2,15.6,2.4,1.2,0,0,0
紅茶,1.5,0.15,0,0,0,0,0,0.15,0,1.5,0,0,0,0,0,0,0,0,0.015,0.15,0.015,0,4.5,0,0,0.045,0,0,149.55,0,1.5,12,1.5,3,9,0.015,0
コーヒー,6,0.3,0,0.015,0,0.015,0,1.05,0,9,0,0,0,0,0,0,0,0,0.015,1.2,0,0,0,0,0,0.09,0,0.015,147.9,0,1.5,97.5,3,10.5,0,0,0
コーヒー・紅茶に入れる砂糖,15.48,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
その他の茶,1.2,0,0,0,0,0,0,0.36,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.64,0,1.2,7.2,2.4,1.2,0,0,0
野菜　100%ジュース,40.5,1.17,0.18,0.009,0,0.027,0,9.63,0.81,14.4,0.45,0.18,0,3699,356.4,0,0.81,0.063,0.072,1.17,0.153,0,27,6.3,0,0,0,0.027,167.49,0,24.3,486,14.4,34.2,3.6,0.09,3.6
果汁　100%ジュース,77.4,0.9,0.09,0.009,0,0.018,0,20.52,0.27,11.7,0.45,0,0,10.8,2.7,0,0.27,0.072,0.018,0.27,0.081,0,25.2,22.5,0,0,0,0.018,157.95,0,3.6,231.3,9.9,23.4,0,0.063,0
甘い飲料,78.3,0.27,0,0,0,0,0,19.26,0,3.6,0,0,0,0,0,0,0.09,0.018,0.009,0.09,0.018,0,7.2,9,0,0,0,0,160.38,0,7.2,51.3,4.5,15.3,0,0.009,0
スポーツ飲料,37.8,0,0,0,0,0,0,9.18,0,5.4,0,0,0,0,0,0,0,0,0,1.44,0.216,0,0,0,0,0,0,0,170.46,0.18,55.8,46.8,14.4,0,0,0,0
汁物,0,0,0,0,0,0,0,0,0,0.252,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,1.393,546,1.4,0.308,0,0,0.00014,0.014
煮物,4.26,0.462,0,0,0,0,0,0.606,0,3.9,0.102,0.054,0.66,0,0,0,0,0.003,0.0102,0.078,0.0102,0.006,1.98,0,0,0,0,0,4.026,0.87,342,23.4,1.74,9.6,0,0.0006,0.06
漬物,0,0,0,0,0,0,0,0,0,0.18,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.995,390,1,0.22,0,0,0.0001,0.01
日本酒,185.4,0.72,0,0,0,0,0,7.38,0,1.8,0,0.18,0,0,0,0,0,0,0,0,0.252,0,0,0,21.6,0,0,0,150.3,0,5.4,9,3.6,14.4,0,0.018,0
焼酎,370.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.2,0,0,0,127.8,0,0,0,0,0,0,0,0
果実酒・酎ハイ,123.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,42.6,0,0,0,0,0,0,0,0
ビール(ビン大),253.2,1.899,0,0,0,0,0,19.623,0,44.31,0,0,0,0,0,0,0,0,0.1266,5.064,0.3165,0.633,44.31,0,23.421,0,0,0,587.424,0,18.99,215.22,18.99,94.95,0,0,6.33
ビール(ビン中),200,1.5,0,0,0,0,0,15.5,0,35,0,0,0,0,0,0,0,0,0.1,4,0.25,0.5,35,0,18.5,0,0,0,464,0,15,170,15,75,0,0,5
